Servicio,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Chile,5395513,59795,53299,49788,48305,48696,51670,56201,56930,59620,80576,110303,99362,96926,96891,100618,112075,113643,117198,117024,114621,112111,106865,108401,113958,117235,119846,113545,111823,104596,98045,109794,146992,171096,169550,158500,143531,136860,146190,129148,129686,131567,119570,115328,112820,109395,109238,103132,95048,88901,77932,72545,68724
Arica,30620,310,244,256,217,260,298,265,221,353,387,477,545,599,742,691,527,707,692,646,656,684,655,767,741,714,733,585,537,490,474,590,708,873,828,938,837,742,598,669,553,670,563,582,657,730,791,730,696,716,625,541,510
Iquique,124725,1667,1478,1427,1404,1340,1416,1497,1465,1558,1800,2003,1966,2040,2170,2182,2261,2208,2476,2572,2549,2675,2689,2802,2828,2786,2575,2599,2385,2774,2498,2739,2916,3300,3282,3527,3439,3140,3131,2943,3000,3100,2959,2792,2845,2928,2687,2372,2279,2021,1834,1686,1715
Antofagasta,146514,1602,1464,1461,1429,1374,1332,1571,1646,1633,2086,2523,2154,2217,2257,2369,2889,2931,2893,2987,3247,3112,3117,3443,3526,3549,3636,3232,2928,2753,2628,2666,3264,3891,4274,4243,4289,3738,4131,3743,3507,3709,3385,3326,3340,3432,3237,2906,2630,2410,2104,2252,2048
Atacama,96007,722,648,642,528,535,551,559,627,694,994,1230,1177,1203,1004,1376,1635,1557,1871,1974,2063,2323,2372,2446,2661,2322,2234,2404,2180,1977,1907,2115,2931,3005,3249,3020,3062,2452,2689,2450,2345,2507,2349,2146,2232,2355,2288,2227,1995,1754,1490,1434,1496
Coquimbo,186013,2235,2113,1873,1744,1877,1860,2061,2176,2336,3378,4089,3342,3085,3234,3497,3996,3841,4062,3868,3828,4150,4363,4283,4306,4664,4542,4136,4198,4116,3804,3326,4520,5083,5577,5626,5022,4839,4828,3881,3863,4123,3695,3392,3539,3414,3853,3349,3134,3067,2603,2138,2084
Valparaíso San Antonio,182882,2336,2144,2081,2045,2238,2672,2649,2530,2161,2930,4132,3435,3332,3183,3369,3713,3686,4149,3951,3974,4145,4099,4071,4150,3759,3567,3245,3481,3004,2952,3218,4667,5165,5317,4860,4592,4022,4876,4162,4397,4405,4069,3864,4013,3952,3664,3322,3125,2824,2566,2263,2356
Viña Del Mar Quillota,196385,835,709,687,708,708,853,804,765,1248,1718,2385,2033,2651,3720,3921,4082,4402,4978,4918,4753,4869,4659,5048,4961,4762,4754,4448,4201,3931,3665,4144,5873,6092,7214,6413,5771,5089,5750,4746,5015,4856,4751,4382,4895,4798,4624,4156,3852,3446,3089,2706,2547
Aconcagua,35996,405,374,360,365,358,352,369,373,481,541,843,741,732,754,754,727,760,740,745,792,665,766,770,784,804,846,832,791,731,688,851,1008,1177,1087,964,879,788,724,809,786,915,759,690,646,709,774,689,629,539,471,430,429
Metropolitano Norte,323260,3598,3375,3098,2943,3088,3136,3351,3342,3545,4913,6907,5826,6108,6249,6551,7343,7821,7458,7414,7210,6539,6534,6599,7033,7322,7482,7189,6872,6337,6519,7340,9584,10626,10179,9269,7988,7757,7965,7056,6965,7170,6412,5970,6090,5762,6175,5693,5442,4982,4585,4321,4227
