Servicio,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Chile,4930720,57879,51164,48630,45938,44610,43762,47849,48946,51466,63643,112791,127611,107198,92377,89286,90926,93636,96485,94174,103522,120199,106479,115646,118401,131216,139864,138805,133362,127349,108054,103851,120994,144924,135448,127967,125350,118134,111908,99016,94076,97929,102995,97894,90433,87931,83306,83310,80910,74566,71017,64430,63063
Arica,38706,412,385,372,319,331,338,362,385,419,515,798,897,797,742,823,788,849,739,771,817,878,816,790,791,1064,1108,1247,1190,999,1069,1200,1391,1435,1166,1036,917,756,809,678,656,689,767,650,622,585,619,554,513,535,483,417,417
Iquique,121580,1747,1633,1589,1580,1515,1671,1594,1802,1673,1832,2729,3083,2793,2465,2415,2298,2314,2341,2283,2571,2580,2428,2601,2649,3018,3640,3672,3245,2998,3130,3218,3706,4011,3450,3117,2808,2582,2383,1895,1742,1809,2041,1912,1985,1863,1750,1777,1635,1652,1585,1379,1391
Antofagasta,141101,1654,1475,1438,1385,1420,1311,1343,1477,1586,2110,3305,3561,3259,3171,2992,2877,2824,3178,3159,3289,3716,3326,3461,3413,3560,3777,3838,3414,3065,3129,3296,3586,4014,3747,3436,3332,3055,2896,2676,2243,2317,2706,2759,2493,2515,2433,2314,2055,1878,1986,1908,1943
Atacama,106913,1331,1040,974,880,738,778,907,867,1125,1468,2257,3128,2466,2110,2017,1902,2034,1910,1921,2186,2423,2507,2774,2757,3020,3454,3411,3326,3054,2437,2310,2510,2848,2933,2722,2737,2465,2313,2085,1916,1999,2044,2018,1940,1854,1808,1713,1723,1664,1486,1304,1319
Coquimbo,189559,1976,1804,1671,1726,1681,1742,2010,1840,2167,2635,4822,4844,3873,3701,3608,3794,3797,3329,3689,4239,4647,4276,4964,4927,5281,6129,6306,5587,4893,3944,3962,4901,5527,5224,4835,4359,4433,4124,3858,3522,3448,3786,3549,3163,2930,2995,2975,2811,2494,2374,2136,2251
Valparaíso San Antonio,178262,2197,1999,1937,1739,1731,1702,2173,2069,2090,2443,4114,4420,3748,3343,3376,3170,3460,3659,3515,4005,4531,3825,3992,3903,4537,5369,4775,4617,4207,3711,4105,4962,5400,4843,4338,4431,4061,4091,3864,3438,3587,3569,3439,3055,3008,2774,2818,2757,2667,2525,2073,2100
Viña Del Mar Quillota,195559,2292,2163,2059,1927,1874,1987,2148,2115,2153,2822,4504,5152,4311,3970,3721,3704,3485,3540,3561,4279,4408,4069,4295,4486,5047,6027,5107,5203,4461,4170,4778,5445,5872,5740,5352,5240,5104,4460,4185,3935,4328,4359,4066,3312,3033,2950,2804,2554,2554,2453,2062,1933
Aconcagua,34984,445,362,349,376,346,301,365,322,364,425,818,906,772,680,649,672,669,644,694,680,805,589,725,795,925,1085,1039,848,785,735,928,1185,1309,1097,1069,1057,863,780,644,627,662,608,644,579,554,470,483,480,503,454,414,404
Metropolitano Norte,269805,3179,3028,2819,2547,2700,2464,2692,2651,2986,3553,5930,6555,5780,5068,4877,5124,5375,5529,5422,5590,6304,5683,6398,6561,7602,7693,7711,8252,8169,6805,6267,6827,8067,7281,6980,6614,5752,5398,4998,4880,4913,5129,5028,4545,4492,3942,4314,4372,4047,3757,3567,3588
Metropolitano Occidente,425177,5035,4627,4435,4112,3987,3868,4217,4361,4764,5705,9942,10966,9574,8175,8060,8043,8590,8409,8283,8774,10342,8636,9430,8949,10090,10929,11579,12120,12090,10030,9127,11362,13337,12125,11084,10828,10077,9464,8213,7887,8089,8300,8286,7295,7121,6691,6645,6731,6263,6456,5854,5820
Metropolitano Central,166953,1909,1758,1749,1548,1600,1492,1725,1818,1802,2035,3318,4070,3550,3166,3054,3084,3312,3429,3276,3539,4006,3412,3623,3758,4121,4562,4365,4870,5016,4063,3775,4589,5234,4600,4200,4360,4073,3792,3317,3248,3246,3283,3347,2931,2825,2661,2592,2612,2425,2361,2254,2198
Metropolitano Oriente,152481,1754,1632,1634,1508,1596,1447,1478,1434,1597,1857,3144,3615,3182,2986,2847,2943,3050,3081,2917,3186,3516,2901,3101,3247,3634,3751,4214,4565,4559,3568,3258,4061,5170,4508,4289,4101,3871,3430,3268,2884,3145,3162,3000,2715,2566,2224,2324,2218,2156,2024,2047,2116
Metropolitano Sur,377616,4598,4202,3891,3597,3374,3418,3799,3858,3974,4931,8481,9532,8600,7076,6802,7109,7667,8151,7796,7773,9464,7553,8346,8152,9736,10049,10263,10539,10355,8603,8195,9881,11944,10443,9473,9379,8339,8308,7351,7142,7348,7860,7366,6716,6531,6130,5938,5859,5630,5488,5359,5247
Metropolitano Suroriente,440717,5311,4746,4354,4343,4058,4019,4282,4265,4803,5814,10577,11301,9821,8294,8376,8780,9336,9256,9280,8909,10840,8606,9712,9341,10916,11243,11661,12284,12589,10255,9521,11912,14313,12364,11869,11635,10548,9677,8542,8390,9061,9284,8358,7718,7332,6828,6668,6545,5899,5944,5625,5312
Libertador B. O'Higgins,198677,2309,1980,1808,1698,1776,1667,1885,1841,2014,2419,4641,5272,4314,3517,3568,3672,3826,4072,3777,4142,4869,3975,4079,4094,4363,4933,4973,4869,4647,3910,4652,6116,7545,6312,6033,5456,5303,5027,4200,3795,3909,4333,3847,3747,3514,3227,3135,3127,2855,2904,2516,2214
Del Maule,341508,3590,3229,3091,2991,2996,2967,3247,3382,3483,4732,8238,9417,7710,6390,5840,6124,6202,6841,6292,6876,7718,7015,7121,7578,8675,9458,9205,7821,7060,6669,7345,9339,10472,9466,9099,8834,8593,8749,6999,6834,6835,7576,7159,6654,6608,6375,6259,6479,5467,5296,4611,4501
Ñuble,132059,1351,1127,1284,1122,1146,1227,1313,1353,1372,1648,3029,3515,2915,2269,2051,2130,2088,2231,2188,2527,2837,2653,2753,3151,3692,4109,4220,3727,3637,2851,2525,2635,3450,3586,3300,3406,3265,3237,2751,2759,2988,2997,2850,2659,2580,2558,2663,2514,2299,2041,1781,1699
Concepción,297732,3507,2688,2624,2576,2547,2532,2788,2653,2882,3823,7227,8153,6613,5244,5193,5509,5405,5951,5749,7098,8859,8051,8862,9415,9333,8834,7444,6481,6138,5248,4718,4850,7112,7498,7367,7385,7541,6970,6025,5500,5799,6605,6011,5639,5667,5276,5703,5432,4944,4522,3816,3925
Talcahuano,176987,1935,1640,1640,1634,1591,1585,1725,1643,1823,2331,4514,5225,3989,3263,3143,3142,3314,3629,3293,4084,5117,4658,4937,5367,5573,5406,4627,3963,3679,3163,2795,3094,4393,4421,4409,4503,4522,4043,3646,3342,3403,3585,3531,3364,3346,3108,3230,3079,2749,2445,2278,2068
Bíobío,167742,1778,1504,1486,1344,1321,1339,1570,1597,1463,1832,3373,4266,3370,2926,2719,2684,2703,2895,2694,3040,3688,3410,3811,4383,5191,5702,5913,5482,5275,4190,3561,3517,4351,4556,4291,4457,4217,4112,3619,3249,3557,3732,3433,3011,3071,3042,2942,3021,2762,2398,1917,1977
Araucanía Sur,74619,1027,935,820,749,643,618,657,752,715,843,1388,1521,1439,1226,1196,1207,1114,1144,988,1160,1576,1792,1597,1752,2056,2321,2398,2380,2293,1885,1611,1778,2267,2253,2191,2002,1963,1884,1664,1403,1438,1517,1560,1536,1396,1274,1330,1286,1074,1043,981,976
Valdivia,149314,1666,1439,1358,1264,1104,1103,1204,1373,1384,1708,2959,3537,2823,2465,2272,2344,2316,2377,2387,2773,3342,3310,3675,4008,4770,4846,4658,3877,3451,2897,2895,3146,3828,3962,3710,3592,3459,3456,3183,3332,3563,3718,3559,3488,3281,3185,3159,2847,2508,2336,2225,2192
Osorno,88347,1075,882,760,723,648,569,621,778,750,913,1867,2341,1876,1768,1684,1521,1539,1498,1521,1965,2262,2251,2774,2826,2762,2764,2994,2614,2360,1892,1612,1482,1815,2043,2074,1870,1789,1941,1759,1645,1800,1892,1793,1707,1802,1822,1829,1556,1412,1431,1235,1240
