Servicio,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Arica,43639,376,362,322,317,302,359,420,432,385,409,623,805,881,1079,1091,1183,1101,1147,1156,1202,1248,1207,1251,1185,1167,1080,991,884,726,680,698,851,1020,1057,1042,1051,1193,1205,1031,1007,1054,944,902,831,866,831,774,696,654,534,516,511
Iquique,137822,1612,1531,1504,1602,1800,1863,1798,1736,1649,1810,2501,2841,3037,3149,3243,3277,3078,2910,2984,2943,3101,3264,3296,3330,3309,3254,3054,2638,2497,2666,2779,3089,3288,2942,3069,3126,3211,3038,2959,2723,2926,2969,2925,2826,2730,2527,2511,2439,2310,2232,1999,1927
Antofagasta,155681,1767,1514,1379,1522,1705,1919,1846,1815,1608,1813,2742,3338,3302,3542,3853,3611,3492,4055,4263,4308,4632,4456,3625,3447,3433,3786,3319,3071,2607,2716,2856,3482,3832,3489,3458,3529,3440,3344,2993,2938,3176,3178,3202,3107,2982,3122,2920,2755,2689,2595,2095,2013
Atacama,113261,1282,1097,969,951,955,989,959,975,1004,1236,1935,2326,2235,2074,2078,1890,1789,1978,2087,2125,2139,2426,2996,3527,4384,4149,3888,3634,3395,2575,2157,2187,2571,2714,2881,2947,3013,2641,2409,2267,2447,2294,2158,2143,2115,2094,1934,1833,1784,1616,1462,1547
Coquimbo,184355,1717,1738,1499,1415,1453,1551,1646,1918,1480,2169,3737,3642,2905,3436,3535,3413,3388,3759,3650,3838,4303,5166,6628,6822,6749,6068,5410,4727,4136,3911,3956,5180,5052,4818,4753,4794,4132,4099,4004,3482,3690,3341,3229,3255,2696,2861,2877,3035,2683,2328,2055,2226
Valparaíso San Antonio,182821,2280,2022,2134,2157,1930,2157,2240,2151,1757,2118,3371,4209,3831,3669,3678,3445,3167,3685,3316,3957,4980,5600,6057,6436,5933,5172,4462,4041,3578,3344,3842,4446,4999,4426,4092,4576,4005,4133,3732,3417,3477,3374,3314,3198,2969,2904,2819,2690,2599,2362,2129,2441
Viña Del Mar Quillota,197997,2175,2027,1939,1937,1858,2166,2022,2098,1919,2363,3528,4441,4208,4438,4099,3883,3791,3816,3713,4383,5659,6447,6787,7238,6834,6125,5194,4720,4046,3555,3918,4649,5172,4903,4713,4650,4336,3982,3782,3661,3737,3488,3442,3476,3273,3359,3152,2775,2577,2567,2448,2528
Aconcagua,36323,348,308,322,270,274,269,274,282,244,322,520,587,704,633,611,590,582,855,849,1107,1196,1370,1419,1235,1245,1344,1086,1023,875,729,720,833,1073,985,876,778,744,840,758,686,709,624,604,580,551,540,553,517,528,457,429,465
Metropolitano Norte,285923,3363,2959,2949,2797,2595,2559,2623,2394,2326,3407,5524,5955,5816,6149,6609,5831,5785,6595,6324,7595,9816,10208,11165,10277,10298,9389,7765,6578,5925,5521,5539,6101,6792,6806,6103,5636,5145,5561,4965,4298,4697,4610,4870,4753,4697,4714,4605,4024,3873,3768,3661,3608
Metropolitano Occidente,443206,5629,4772,4725,4622,4225,4286,3955,4088,3822,5405,8290,9118,8800,9221,9361,8775,8381,9729,9627,11749,14885,16521,17824,17327,16591,15128,11643,9821,8732,7990,8412,9742,10865,10557,9444,9207,8760,9137,7472,6805,7370,6889,7590,7218,6765,6615,6669,5973,5896,5502,5565,5711
Metropolitano Central,162770,2046,1722,1701,1682,1619,1734,1403,1456,1448,1972,3012,3475,3283,3557,3564,3402,3552,3831,3417,4208,5259,5736,6209,6053,5951,5692,4201,3690,3157,2735,2970,3462,3997,3589,3291,3325,3041,3199,2722,2428,2821,2705,3012,2836,2522,2676,2532,2292,2336,2063,2020,2164
Metropolitano Oriente,159539,1848,1580,1581,1587,1496,1363,1349,1347,1369,1758,2781,3088,3068,3337,3389,3208,3014,3570,3294,3864,4951,5577,6389,6158,5842,5686,4507,3917,3261,3062,3243,3635,4272,3945,3579,3440,3029,3299,2963,2603,2889,2671,2614,2513,2426,2537,2526,2129,1969,1976,1876,2164
Metropolitano Sur,380031,4495,3953,4031,3757,3734,3720,3503,3663,3425,4216,7139,7883,7487,7972,8582,8252,7554,8929,8295,9890,13078,13909,15284,13875,13248,13212,10186,8672,7715,6812,7123,7819,9249,8608,8038,7736,6849,7605,6157,5639,6490,6072,6550,6208,5977,6083,6132,5188,5092,5106,4670,5169
Metropolitano Suroriente,464960,5323,4673,4631,4463,4198,4192,3985,4160,3720,5484,8692,9478,9793,10045,10800,9861,9498,10715,9847,11802,15308,17203,18301,17133,16940,16085,12179,10178,9022,8329,8854,10166,11693,11072,10058,9949,8812,9417,8016,7204,7918,7627,8158,7926,7364,7498,7416,6567,6258,5699,5432,5818
Libertador B. O'Higgins,223765,2328,2057,1988,2063,1948,2068,1963,1811,1907,2310,3873,4579,4404,4372,4385,4292,4142,4669,4629,5304,7052,7932,8031,8427,7787,7278,5842,5750,4716,3969,4155,5215,5934,5498,5551,5697,5197,5560,4765,4138,4399,4034,3914,3636,3329,3253,3299,3133,2974,2855,2584,2769
Del Maule,355132,3731,3400,3079,2954,2777,2917,2888,2862,2731,3904,7130,7442,6938,6925,7288,6770,7184,8004,8318,9216,11135,11499,11512,10889,10428,10159,8783,8192,7198,6206,7146,8798,9563,8814,8317,8454,8246,8477,7114,6971,7452,6685,6721,6399,5988,6184,5911,5788,5384,4993,4586,4682
Ñuble,128967,1370,1228,1133,1102,992,1099,1102,1061,1021,1378,2212,2477,2268,2468,2418,2277,2218,2601,2735,3509,4566,4835,4851,4347,4005,3986,3287,2914,2346,2103,2094,2564,3046,3044,2953,3047,3086,3407,2823,2651,2678,2518,2456,2353,2342,2432,2417,2220,1994,1798,1639,1496
Concepción,305982,3102,2572,2401,2372,2376,2345,2327,2231,2382,3192,5960,6674,5434,5278,5680,5310,5626,6300,6782,8344,10474,11254,11873,9867,8821,8829,7166,6728,5705,5114,5075,6127,7593,7220,7154,7629,7631,7953,7025,6196,6496,5991,6281,5775,5252,5487,5380,5372,4960,4474,4213,4179
Talcahuano,179593,1886,1474,1441,1383,1353,1394,1502,1304,1486,1850,3536,4176,3387,3243,3318,3159,3397,3653,4175,4872,5926,5748,6189,5561,4704,4626,3755,3584,3430,3045,3103,3647,4608,4259,4101,4655,4539,5378,4316,3957,4029,3789,3849,3447,3321,3333,3107,3115,3062,2663,2467,2291
