Servicio,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Bíobío,183885,2023,1805,1623,1444,1508,1556,1492,1431,1543,1940,4402,3839,3464,3490,3557,3568,3410,3930,4135,4828,5585,5789,6317,5611,5391,5615,4854,4388,3684,3431,3227,3679,4391,4046,4132,4607,4537,4839,4296,3977,3964,3466,3542,3361,3165,3110,3270,2999,2910,2442,2264,2008
Araucanía Sur,88032,1173,1042,836,764,748,768,792,682,590,804,1569,1908,1736,1607,1698,1621,1669,1716,1885,2112,2434,2624,3103,3162,3073,2873,2650,2586,2379,1926,1815,1742,1924,1946,1706,1648,1722,1930,1724,1405,1689,1695,1684,1672,1503,1644,1515,1460,1367,1329,1248,1134
Valdivia,158039,1698,1544,1434,1307,1350,1267,1473,1341,1310,1668,2936,3642,3114,2923,3129,3257,3095,3197,3534,4324,4805,4980,5359,5324,5082,4804,3869,3373,2811,2395,2531,2929,3509,3361,3227,3631,3802,4019,3757,3183,3201,3175,3302,3247,3124,3037,3029,2630,2420,2341,2181,2058
Osorno,90705,940,771,595,616,596,682,685,637,635,870,1664,2135,1736,1582,1526,1471,1499,1487,1826,2186,2616,2669,3025,2902,3062,3044,2467,2300,1909,1475,1328,1567,1963,1927,2155,2072,2155,2233,2202,2173,2149,1936,2003,1822,1859,1842,1980,1764,1631,1605,1444,1287
Del Reloncaví,170519,2010,1730,1592,1414,1476,1328,1333,1264,1395,1762,3935,4176,3497,2958,2912,3088,3046,3383,3666,4247,4950,4656,5237,5185,5065,4722,4025,3852,3206,2631,2453,2749,2871,3162,3274,3836,3623,4059,4028,3895,4323,3958,4078,3650,3941,3889,3785,3818,3350,2937,2548,2551
Aisén,37511,409,355,329,278,288,259,264,244,290,383,833,984,787,615,516,613,619,616,745,882,901,978,1003,804,849,785,993,853,737,631,685,1095,1209,910,979,963,874,836,820,899,947,869,834,824,805,807,928,814,806,664,542,558
Magallanes,55294,556,540,461,440,435,425,459,454,465,633,1330,1338,1119,1053,1062,1039,1013,1102,1231,1456,1498,1486,1793,1924,2073,2197,1639,1336,1021,829,821,1002,1254,1115,1105,1202,1155,1112,1136,1145,1192,1076,1223,1179,1110,1162,1020,965,807,791,705,610
Arauco,59207,807,602,538,463,481,465,440,448,497,603,1238,1337,1143,1097,1117,1055,1035,1153,1164,1352,1666,1695,1943,1746,1829,1667,1365,1316,1115,1028,1119,1399,1662,1552,1446,1622,1477,1382,1218,1146,1336,1160,1303,1294,1126,1037,1092,897,926,905,876,827
Araucanía Norte,108836,1248,1093,1019,864,935,852,839,728,727,1009,2006,2535,2327,2101,1997,2083,1931,2072,2090,2664,3285,3442,3618,3387,3282,3118,2496,2870,2812,2396,1945,2093,2445,2488,2700,2877,2699,2680,2311,2781,2252,2218,2287,2248,2040,2078,1853,1763,1416,1343,1297,1196
Chiloé,54031,775,662,577,456,483,501,525,482,609,668,1333,1323,1214,1115,1333,1321,1385,1347,1479,1476,1664,1517,1588,1454,1283,1352,1234,1201,1124,940,798,820,1010,962,916,1007,1073,1175,978,924,1041,999,994,1024,941,1056,1109,1061,1027,982,883,830
