Servicio,Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Chile,5283943,65361,56081,53222,51609,47185,50234,52239,52586,52327,68941,101621,106573,96031,94621,94219,87787,100275,102202,107559,111754,119083,112947,131434,139759,153923,163429,161371,149917,138607,129621,135454,152952,161570,148149,143412,143785,126818,130156,115528,109164,109992,102280,94901,88202,78268,76737,76999,74308,74602,66653,60687,60808
Arica,38456,521,471,420,413,319,375,402,395,378,421,565,666,692,662,734,795,814,846,879,902,916,912,1096,1054,988,1011,1036,1063,916,880,931,1107,1188,1010,1013,1023,961,955,830,768,813,732,655,619,546,530,548,574,577,598,481,455
Iquique,129009,1577,1534,1496,1567,1630,1733,1618,1453,1378,1598,2090,2291,2394,2361,2389,2508,2622,2664,2969,3079,3164,3362,3349,3262,3503,3333,3111,2925,2943,3104,3332,3605,3287,2961,2808,3083,2897,2708,2365,2349,2587,2393,2309,2325,2207,2215,2283,2346,2101,2030,1904,1907
Antofagasta,149748,1875,1673,1539,1520,1389,1473,1560,1471,1420,1855,2726,2805,2779,2766,2950,3067,3250,3463,3769,3997,4033,3829,4200,4255,4279,4135,4269,4042,3592,3489,3683,4150,4129,3693,3521,3392,3101,3340,3184,3334,3444,3156,2592,2109,1853,1851,1959,2093,2131,1979,1739,1845
Atacama,110907,1496,1270,1181,1050,1006,1080,1069,1100,944,1152,1749,1936,1719,1503,1603,1580,1943,2170,2294,2609,2897,2899,3095,3188,3228,3432,3513,3434,2971,2809,3122,3571,3641,3408,3256,3074,2713,2560,2216,2132,2271,2271,1967,1637,1412,1217,1347,1473,1535,1386,1334,1444
Coquimbo,185908,1982,1998,1808,1661,1764,1765,1899,1922,2060,3216,3751,3814,3334,3280,3326,3618,3698,3840,4020,4487,4641,4267,4870,5101,5573,6255,6079,5768,4762,4548,5697,5697,6147,5291,5203,4537,4278,4152,3922,3376,3613,3315,2764,2361,2084,2246,2144,2136,2133,2035,1727,1943
Valparaíso San Antonio,188140,2312,2127,2192,2074,2098,2345,2226,2145,1972,2521,3602,3675,3207,3346,3125,2860,3356,3589,3860,3985,4123,4267,5150,5244,5855,6165,5781,5303,5414,5111,5614,5869,5633,4895,4604,4405,3882,4110,3818,3846,3648,3571,2950,2983,2698,2411,2748,2645,2626,2206,1942,2006
Viña Del Mar Quillota,220258,2419,2177,2195,2189,2103,2124,2101,2217,2405,3242,4629,4549,4148,4230,3989,3531,4153,4364,4480,4870,5293,5219,6163,6399,7027,7563,7192,6717,6061,6020,6594,6971,7005,6142,5251,5237,4747,4764,4436,4083,3934,3853,3415,3276,2850,2845,3155,2676,2694,2143,2225,2193
Aconcagua,34323,435,343,315,302,280,317,352,315,363,460,585,709,619,618,604,572,605,638,690,732,792,626,729,913,984,1421,1393,1324,1138,1021,958,1044,1118,890,877,823,749,796,664,626,628,605,603,545,460,459,418,420,412,333,371,329
Metropolitano Norte,308259,3988,3199,3021,3050,2576,2776,2975,3198,3106,3821,5207,5934,5592,5752,5753,5147,5889,5755,6066,6160,6822,6097,7468,8277,9921,10873,10605,9556,9084,8327,8875,9560,9734,8319,8068,7831,7266,7531,6351,5696,5833,5438,5441,4853,4458,4295,3963,3901,4061,3641,3563,3586
Metropolitano Occidente,508141,6520,5499,5297,5327,4564,4716,5101,5246,5146,6254,9229,10444,9505,9587,9499,8246,9549,10198,10308,10957,11654,9895,12315,13887,15844,17284,16728,15670,14698,13484,13477,15131,15591,13615,12761,13666,11729,12036,10195,9780,9955,9277,8806,8294,6982,6993,6734,6393,6679,5887,5718,5791
Metropolitano Central,173417,1969,1724,1624,1709,1530,1566,1555,1614,1616,1911,2744,3146,2815,2929,3199,2602,3139,3251,3369,3576,3851,3620,4277,4933,5427,5719,5786,5563,5187,4734,5019,5335,5394,4578,4522,4868,4043,4215,3564,3674,3694,3288,3486,2852,2452,2428,2325,2398,2420,2114,2029,2034
Metropolitano Oriente,167613,2129,1874,1814,1763,1349,1525,1495,1544,1425,1834,2790,3093,2940,2847,2947,2383,2888,2983,3172,3459,3630,3252,4053,4508,5278,5590,5527,5136,4907,4611,4776,5413,5376,4703,4520,4877,4343,4340,3576,3301,3324,3030,3077,2906,2611,2480,2180,2183,2158,1979,1806,1908
Metropolitano Sur,427857,5731,4757,4818,4656,4052,4229,4471,4369,4616,5674,7669,8934,7856,8071,7964,6703,8285,8189,8619,8935,10003,8742,10815,11740,13266,13864,13459,12308,12337,11541,11352,12396,13287,11552,11037,11383,9856,10303,8758,8371,8791,7789,7428,7137,5961,5760,5490,5138,5306,4829,4531,4729
Metropolitano Suroriente,477762,6354,5278,5122,5005,4550,4570,4662,4567,4737,5899,8219,9393,8797,9098,8835,7638,9216,9323,9704,10695,11608,10040,12518,13236,13950,15205,14519,13078,12968,12522,12894,14591,14645,12925,12597,12981,11678,11720,10462,9619,9615,8505,8566,7984,6774,6480,6361,6253,5821,5440,5116,5429
Libertador B. O'Higgins,237354,3119,2645,2598,2451,2222,2484,2666,2352,2433,2688,4314,5011,4514,4404,4156,3746,4240,4153,4575,4796,5123,4935,5595,5508,6738,7795,7707,7097,6566,6033,6244,6997,7667,6956,6377,6476,5770,6000,5128,4756,4679,4331,3980,4050,3602,3430,3391,3386,3350,3002,2531,2587
Del Maule,343217,4012,3492,3170,3074,2766,2962,3210,3685,3221,4347,6814,7407,6662,6127,5812,5689,6204,6754,7204,6948,7488,6981,7464,7567,8474,9169,9474,9181,8616,8308,10415,11672,12243,10600,10479,10020,8346,8380,7456,7067,6743,6513,5824,5802,5267,5259,5610,5276,5328,4646,4164,3825
Ñuble,128949,1579,1453,1280,1217,1024,1171,1254,1305,1206,1572,2415,2579,2221,1988,1975,2037,2309,2338,2475,2425,2610,2459,2816,2895,2927,3182,3448,3266,2975,2857,2806,3582,4012,4250,4288,4197,3593,3916,3684,3287,2900,2830,2643,2587,2339,2367,2116,1866,1955,1646,1414,1413
Concepción,287924,3243,2626,2414,2339,2337,2514,2610,2589,2635,3967,6941,6569,5232,4922,5057,5047,5402,5177,5547,5734,5705,5408,6701,7292,8622,9342,9119,7795,6584,5656,5501,7250,8255,8166,8258,8193,7364,7592,6504,6471,6577,6619,6041,5490,4951,4808,4815,4407,4682,3843,3427,3584
Talcahuano,170433,1963,1583,1467,1453,1380,1684,1721,1619,1740,2348,4128,4186,3180,2971,3104,2955,3372,3011,3186,3107,3232,3238,4073,4792,5227,5286,5079,4536,3652,3488,3343,3990,4750,5004,4960,4751,4029,4315,3882,3937,4018,3915,3768,3296,2793,2620,2704,2722,2629,2267,1931,2048
Bíobío,183092,2046,1936,1754,1601,1466,1772,1850,1798,1780,2243,3366,3623,3476,3162,3080,2928,3391,3282,3528,3604,3743,3944,4339,4677,4600,4913,5436,5079,4566,4360,4255,5356,6268,5737,5601,5499,4764,4706,4458,3740,3858,3602,3039,2831,2995,3031,3016,2676,2984,2671,2454,2208
Araucanía Sur,99755,1364,1015,953,891,981,974,1168,1066,1035,1414,1931,1953,1813,1743,1665,1755,2043,1806,2101,2250,2454,2590,2566,2464,2744,2396,2732,2768,2585,2460,2156,2473,2617,2600,2503,2414,2162,2420,2392,2222,2241,2163,1914,1809,1699,1545,1548,1620,1543,1596,1321,1117
Valdivia,158125,1970,1771,1581,1638,1340,1472,1432,1708,1647,2351,3364,3003,2674,2441,2602,2473,2814,2902,2958,3145,3348,3511,3853,4002,4129,4299,4376,4043,3682,3271,3045,3623,3967,4656,4783,4917,4325,4640,4188,3944,3849,3545,3235,2716,2566,2596,2646,2630,2603,2193,1849,1809
Osorno,92648,980,828,793,750,655,730,827,799,851,1386,2185,1747,1577,1521,1628,1532,1776,1969,2075,2256,2371,2533,2697,2736,2682,2486,2601,2267,2017,1818,1775,2025,2508,2746,2782,2796,2442,2550,2200,2091,2346,1996,1693,1566,1459,1312,1458,1352,1270,1201,1046,961
Del Reloncaví,147941,2109,1658,1500,1262,1298,1369,1430,1430,1510,2594,3869,2922,2550,2586,2587,2836,3149,3382,3501,3293,3591,3842,4022,4444,4474,4109,4014,3461,2957,2613,2520,3310,3880,4050,3955,3739,3268,3245,3168,2942,3109,2797,2625,2414,2206,2219,2588,2528,2552,2390,2035,2039
Aisén,35379,406,310,350,260,230,227,222,186,255,493,748,485,509,562,671,622,679,615,646,681,726,819,948,925,955,1014,981,859,703,567,639,758,866,926,962,1126,913,976,992,874,975,899,841,834,779,807,838,667,657,476,458,462
Magallanes,50261,558,451,429,411,349,377,383,372,388,789,1230,1087,967,933,1011,983,1136,1213,1229,1158,1119,1156,1227,1220,1390,1325,1072,1162,979,861,917,1142,1407,1425,1473,1326,1329,1445,1338,1324,1332,1104,904,834,629,834,923,907,818,701,593,591
Arauco,59871,685,615,540,543,525,546,549,559,540,799,1272,1215,1127,1086,926,922,1052,1068,1111,1048,1144,1179,1334,1402,1590,1739,1707,1820,1661,1372,1386,1609,1743,1807,1856,1953,1550,1556,1377,1407,1350,1324,1135,1081,853,953,915,902,1015,967,753,703
Araucanía Norte,111152,1216,1118,965,932,872,853,899,1000,967,1281,2288,2360,2211,2159,2021,2024,2232,2209,2417,2225,2284,2399,2475,2586,2895,3008,3072,3166,2751,2599,2946,3434,3649,3407,3164,3248,2808,2955,2706,2548,2358,2155,1978,1804,1699,1720,1728,1680,1589,1589,1391,1112
Chiloé,58044,803,656,586,501,530,505,532,562,553,811,1201,1037,921,966,1007,988,1069,1050,807,641,718,926,1226,1252,1353,1516,1555,1530,1335,1157,1182,1291,1563,1837,1933,1950,1912,1930,1714,1599,1507,1264,1222,1207,1083,1026,1048,1060,973,865,834,750
