"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
531.713181542296,385.205858178374,678.220504906218,307.649566011832,755.776797072761
514.247792534254,325.693957473811,702.801627594697,225.879586524277,802.615998544231
522.783144918323,320.699742805218,724.866547031428,213.723251689058,831.843038147588
512.48637609227,306.503496628431,718.469255556109,197.462746895253,827.510005289287
532.650597360094,325.632648567621,739.668546152568,216.043966229976,849.257228490213
611.984539402878,404.707393094603,819.261685711152,294.981499880377,928.987578925378
660.440690579336,453.101194221014,867.780186937657,343.342294884043,977.539086274628
796.217261439302,588.863175188442,1003.57134769016,479.096552428898,1113.33797044971
846.395622323046,639.038186662441,1053.75305798365,529.269790832481,1163.52145381361
797.025873755728,589.667679385457,1004.384068126,479.89888191886,1114.1528655926
799.896497029092,592.5381324141,1007.25486164408,482.769244825393,1117.02374923279
860.772249314831,653.413846756162,1068.1306518735,543.644939081284,1177.89955954838
