"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
3056.78804664049,2742.59685038723,3370.97924289375,2576.27407789178,3537.30201538919
2891.71469583782,2412.21941237601,3371.20997929964,2158.38994199336,3625.03944968228
2831.64650207678,2254.85246393455,3408.440540219,1949.51614411823,3713.77686003532
2746.8349664415,2115.06232251184,3378.60761037116,1780.62208682665,3713.04784605636
2740.36453861262,2078.23082146834,3402.49825575689,1727.71840447059,3753.01067275465
2804.61510083397,2125.94057683002,3483.28962483792,1766.67198560135,3842.5582160666
2963.35180754113,2275.74057200831,3650.96304307396,1911.74117146289,4014.96244361937
2949.36014030173,2256.94572491535,3641.77455568811,1890.40367454536,4008.31660605811
3419.63775719098,2724.65029678362,4114.62521759834,2356.74615865703,4482.52935572493
3911.67624436853,3215.31327499038,4608.03921374668,2846.68098639892,4976.67150233815
3521.61113796493,2824.5137999581,4218.70847597177,2455.49276009729,4587.72951583258
3756.7318352302,3059.24274346032,4454.22092700008,2690.01432168436,4823.44934877604
