"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
1714.34046620484,1416.60048984059,2012.08044256908,1258.9864670985,2169.69446531117
1462.97531795586,1011.50063093203,1914.45000497969,772.504368297143,2153.44626761457
1377.00337816854,822.612389294295,1931.39436704279,529.135527384621,2224.87122895246
1428.00673577013,812.144197794225,2043.86927374603,486.126263448087,2369.88720809216
1607.31933762901,960.240403563971,2254.39827169406,617.697507325913,2596.94116793212
1958.10769847294,1298.56036608164,2617.65503086425,949.417098468026,2966.79829847786
1948.22372307368,1285.4614319319,2610.98601421546,934.616267959587,2961.83117818776
2194.52644211864,1531.56096751681,2857.49191672047,1180.60824471788,3208.44463951939
2491.31046144353,1828.12229186562,3154.49863102143,1477.05168146742,3505.56924141963
2784.47632156094,2120.27963710725,3448.67300601464,1768.67515118279,3800.2774919391
2768.22454919379,2102.55221700021,3433.89688138737,1750.16657034863,3786.28252803896
3025.5989554936,2358.50919119358,3692.68871979362,2005.37320130966,4045.82470967754
3025.43835151486,2357.31054374044,3693.56615928928,2003.62504683438,4047.25165619534
3251.87338275486,2583.14514756724,3920.60161794247,2229.14180358834,4274.60496192138
3187.49681374356,2518.50200639485,3856.49162109227,2164.35754763796,4210.63607984916
2919.92818263387,2250.85378951081,3589.00257575694,1896.66720058988,3943.18916467787
2823.34919093814,2154.26591908312,3492.43246279316,1800.07463004539,3846.62375183088
2628.67640684882,1959.59159719796,3297.76121649967,1605.39949410029,3651.95331959734
2149.83484022261,1480.73561039838,2818.93407004684,1126.53587372204,3173.13380672318
2155.90394452168,1486.78023231877,2825.0276567246,1132.56753545401,3179.24035358935
2733.00471748602,2063.85559301392,3402.15384195812,1709.62944370646,3756.37999126558
3760.40676302109,3091.23792145554,4429.57560458663,2737.0013345493,4783.81219149287
3876.43827239609,3207.25738077796,4545.61916401422,2853.0144149592,4899.86212983298
3637.96944202876,2968.78282974174,4307.15605431579,2614.5368355838,4661.40204847373
3285.3814864775,2616.19296276463,3954.57001019036,2261.94595675897,4308.81701619602
3157.10900621733,2487.92017906786,3826.29783336681,2133.67301243256,4180.54500000211
2570.12120782084,1900.93237737804,3239.31003826363,1546.68520899936,3593.55720664231
2441.04557301676,1771.85654727808,3110.23459875545,1417.60927551601,3464.48187051752
2274.39077028869,1605.20134531949,2943.5801952579,1250.95386221754,3297.82767835985
2474.11096013856,1804.9210843248,3143.30083595231,1450.67336256016,3497.54855771695
2437.48037157567,1768.29012491515,3106.6706182362,1414.04220683609,3460.91853631525
2033.17667525315,1363.98618958117,2702.36716092512,1009.7381449771,3056.6152055292
1742.78545006696,1073.59484369464,2411.97605643927,719.346735195669,2766.22416493825
1483.90789250712,814.717241730838,2153.0985432834,460.469109725822,2507.34667528842
1363.93717961823,694.746519822688,2033.12783941378,340.498383043163,2387.3759761933
1295.04691974953,625.856259967947,1964.23757953112,271.608123195811,2318.48571630325
1337.11477167667,667.924109769681,2006.30543358365,313.675971872427,2360.55357148091
1366.49737463559,697.306707109202,2035.68804216198,343.058566237215,2389.93618303397
1294.93329169771,625.742617600482,1964.12396579494,271.494473250102,2318.37211014532
1204.40832993718,535.217650826024,1873.59900904834,180.969503821431,2227.84715605293
1300.64773376667,631.457052060186,1969.83841547316,277.208903681707,2324.08656385164
1246.81710458845,577.626421981791,1916.00778719512,223.378273126789,2270.25593605012
1055.31227173819,386.121588127775,1724.5029553486,31.8734387414196,2078.75110473496
920.670551410869,251.479867554869,1589.86123526687,-102.768281961492,1944.10938478323
878.238930995632,209.048247128757,1547.42961486251,-145.19990239336,1901.67776438462
849.326556393603,180.135872500618,1518.51724028659,-174.112277035321,1872.76538982253
828.660338549021,159.469654558834,1497.85102253921,-194.778495028562,1852.0991721266
881.709896589882,212.519212464479,1550.90058071529,-141.728937194496,1905.14873037426
906.228452154821,237.037767902977,1575.41913640666,-117.210381822931,1929.66728613257
993.671487034755,324.480802692211,1662.8621713773,-29.7673470817106,2017.11032115122
1143.61606457058,474.425380176677,1812.80674896448,120.177230375569,2167.05489876558
1528.31215311683,859.121468700767,2197.50283753289,504.873318887927,2551.75098734573
