"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
4119.30480970578,3649.00424622441,4589.60537318716,3400.0421665825,4838.56745282906
3326.52043606139,2714.24644028243,3938.79443184034,2390.12816542558,4262.91270669719
3069.56873454517,2359.73819768097,3779.39927140937,1983.9766095109,4155.16085957944
3111.26022801723,2321.21489955074,3901.30555648372,1902.99016571161,4319.53029032285
3022.63467823215,2193.81069044523,3851.45866601907,1755.05777437584,4290.21158208846
3299.57811555377,2451.22332790996,4147.93290319757,2002.13143092708,4597.02480018045
3069.33244289118,2210.96311840227,3927.70176738008,1756.56984584553,4382.09503993682
3039.84500057373,2176.29631095182,3903.39369019563,1719.16124811275,4360.52875303471
3603.92140503466,2737.68247545179,4470.16033461753,2279.1232856024,4928.71952446692
4239.88251588096,3372.24316082492,5107.521870937,2912.94263051103,5566.82240125088
4321.65258438965,3453.28339959204,5190.02176918726,2993.59652075052,5649.70864802878
4824.96613440275,3956.21637600032,5693.71589280518,3496.3280336619,6153.6042351436
