"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
2878.15972762409,2107.75411880711,3648.56533644107,1699.92602453679,4056.39343071139
2826.45131864514,1829.78382368007,3823.11881361021,1302.17992199387,4350.72271529642
2424.36998422061,1300.67909989249,3548.06086854873,705.833077667683,4142.90689077353
2782.81274102336,1581.0990632277,3984.52641881903,944.950269053481,4620.67521299325
2613.54412467676,1362.01022192059,3865.07802743293,699.488193739212,4527.60005561431
2189.5784263734,905.572919305647,3473.58393344115,225.861462136816,4153.29539060998
1969.49341548165,664.069016476569,3274.91781448674,-26.9809171781703,3965.96774814148
1918.68782893581,599.03079118345,3238.34486668817,-99.5534463111248,3936.92910418275
1818.59270693405,489.433921514322,3147.75149235378,-214.180237360719,3851.36565122882
1801.84484776398,466.323424466327,3137.36627106164,-240.658911445056,3844.34860697302
1905.42917171366,565.638662214949,3245.21968121238,-143.60359141994,3954.46193484727
1893.79556695986,551.13688742523,3236.45424649449,-159.623683712028,3947.21481763175
