"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
1638.78141170717,1163.63193077439,2113.93089263996,912.102989286133,2365.45983412821
1720.29944557355,1091.64525268471,2348.95363846238,758.855825262714,2681.74306588438
1915.2648202247,1205.76956789419,2624.76007255521,830.185468634952,3000.34417181444
2020.01715506365,1271.81601006383,2768.21830006348,875.742248912598,3164.29206121471
2390.58557588238,1628.16781913769,3153.00333262708,1224.5682383292,3556.60291343556
2281.05009901259,1516.02938192057,3046.07081610461,1111.05187713833,3451.04832088685
1989.40081100202,1224.33911269303,2754.46250931101,819.339913764961,3159.46170823908
2013.09024120354,1245.40695270425,2780.77352970284,839.019967759263,3187.16051464783
1870.457607097,1095.99805311896,2644.91716107504,686.023929912209,3054.89128428179
1825.17628207135,1040.71873572337,2609.63382841933,625.451995058889,3024.90056908381
1709.84227647978,914.213570710481,2505.47098224907,493.033175465289,2926.65137749427
1563.78569199344,757.8155623801,2369.75582160679,331.160748036589,2796.4106359503
