"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
406.122919635357,181.10642733075,631.139411939963,61.9898915920042,750.255947678709
365.400599001461,51.6517646684065,679.149433334516,-114.436835571756,845.238033574678
292.505566385686,-79.2699712574222,664.281104028794,-276.076052726813,861.087185498184
450.299149378405,40.5081168044296,860.090181952381,-176.422152070873,1077.02045082768
594.612242426877,161.084206690024,1028.14027816373,-68.4116726284185,1257.63615748217
786.332940785006,339.080529370493,1233.58535219952,102.319404428689,1470.34647714132
896.493371416212,442.132781040973,1350.85396179145,201.608813453545,1591.37792937888
1039.71184708908,582.230636774754,1497.19305740341,340.054712778732,1739.36898139943
1346.49126567287,887.981675935831,1805.00085540991,645.261360757618,2047.72117058812
1716.69695029909,1258.01815852794,2175.37574207024,1015.20827320339,2418.18562739478
1797.14010095026,1338.45919067602,2255.8210112245,1095.64818388367,2498.63201801684
1904.47882617961,1445.66115873079,2363.29649362843,1202.77775706328,2606.17989529595
1951.77278764708,1492.62331213357,2410.92226316059,1249.56426188673,2653.98131340742
2106.507628984,1646.88963955021,2566.12561841778,1403.58257301552,2809.43268495247
1964.30959920129,1504.17913547665,2424.44006292593,1260.60078143963,2668.01841696295
1994.58933075972,1533.98246360049,2455.19619791895,1290.15191681901,2699.02674470043
1961.68134605152,1500.68306034702,2422.67963175603,1256.64530910394,2666.71738299911
1825.99256007675,1364.70523443968,2287.27988571382,1120.51447469885,2531.47064545465
1427.67969123243,966.199827539417,1889.15955492545,721.907144308501,2133.45223815637
1238.3812078703,776.786542594805,1699.9758731458,532.433087077102,1944.3293286635
1409.21931604849,947.564789403262,1870.87384269371,703.179645190595,2115.25898690638
1748.82204835389,1287.14167707814,2210.50241962963,1042.7428515445,2454.90124516327
1673.64038761018,1211.9520739556,2135.32870126477,967.549043980573,2379.73173123979
1623.64344644592,1161.95444841325,2085.3324444786,917.551056150345,2329.7358367415
1697.80836981668,1236.12004581315,2159.49669382021,991.717010359727,2403.89972927364
1752.11009398131,1290.42131906848,2213.79886889415,1046.01804491809,2458.20214304454
1746.66639047905,1284.97559399006,2208.35718696805,1040.57124968189,2452.76153127622
1499.63483783551,1037.94092283571,1961.32875283532,793.534927687632,2205.73474798339
1278.89406533108,817.196590768197,1740.59153989396,572.788711301255,1984.9994193609
1379.28268697313,917.581694097524,1840.98367984875,673.171952148327,2085.39342179794
1282.3871046502,820.682912370785,1744.09129692962,576.271476759519,1988.50273254089
1224.11148228548,762.404701082822,1685.81826348815,517.991894978376,1930.23106959259
1137.68882872616,675.980763605648,1599.39689384667,431.567277836147,1843.81037961617
1025.47831303668,563.771835557964,1487.18479051541,319.35919023526,1731.59743583811
944.323053451669,482.623901864421,1406.02220503892,238.215134634404,1650.43097226893
948.087284780723,486.405581431902,1409.76898812954,242.006050741372,1654.16851882007
899.180734275645,437.532289464976,1360.82917908632,193.150364781044,1605.21110377025
847.269081238425,385.675816251808,1308.86234622504,141.32310200226,1553.21506047459
943.959603799662,482.448258013094,1405.47094958623,238.138909168546,1649.78029843078
748.055342485079,286.653675694738,1209.45700927542,42.4023874036196,1453.70829756654
683.45832716156,222.188486593849,1144.72816772927,-21.993017110379,1388.9096714335
621.76461122829,160.634415882835,1082.89480657375,-83.4731641061256,1327.00238656271
441.933959868041,-19.1962786668041,903.064198402886,-263.303881518846,1147.17180125493
305.622431112915,-155.50784666069,766.75270888652,-399.615470284477,1010.86033251031
254.282570266335,-206.847739128717,715.412879661387,-450.955379491887,959.520520024558
327.582377559622,-133.547954758819,788.712709878063,-377.655607256898,1032.82036237614
332.87901173743,-128.251335551951,794.009359026811,-372.358995975167,1038.11701945003
372.85065308147,-88.2797029241548,833.981009087095,-332.387367961471,1078.08867412441
402.17641922403,-58.9539411788518,863.306779626911,-303.061608543936,1107.41444699199
386.757358189379,-74.3730040096619,847.887720388419,-318.480672325575,1091.99538870433
410.194812613275,-50.9355500705377,871.325175297088,-295.043218643073,1115.43284386962
613.042039088726,151.911676399811,1074.17240177764,-92.1959921754252,1318.28007035288
