"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
1582.04299715603,1232.01560291042,1932.07039140164,1046.72229312157,2117.36370119049
1658.89396769943,1190.02989722526,2127.75803817361,941.828251047039,2375.95968435183
1443.12435882128,928.801801669871,1957.44691597269,656.535886257612,2229.71283138495
1252.7362335142,718.831118765186,1786.64134826321,436.198823546538,2069.27364348185
1534.77367883181,992.111511611676,2077.43584605194,704.843512836553,2364.70384482706
1666.82142654707,1120.18436097429,2213.45849211986,830.812178115447,2502.8306749787
1760.74601776503,1212.29302895413,2309.19900657593,921.959554400279,2599.53248112978
1984.18761193021,1434.90262426543,2533.47259959499,1144.12871612292,2824.24650773749
2477.33701011967,1927.67032706075,3027.00369317858,1636.69436158196,3317.97965865738
3036.97053306571,2487.12863512665,3586.81243100478,2196.0599164931,3877.88114963833
2633.23823645624,2083.31588517182,3183.16058774066,1792.20457710986,3474.27189580261
2779.0799429189,2229.12064525854,3329.03924057925,1937.98977896659,3620.1701068712
