"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
3835.41298165705,3159.74432067431,4511.08164263978,2802.06693721146,4868.75902610264
3471.85588102835,2454.03069769911,4489.6810643576,1915.2265923462,5028.48516971051
3523.99150467772,2308.10540244666,4739.87760690878,1664.45417996386,5383.52882939158
3820.94597054616,2493.54918413686,5148.34275695545,1790.86777119502,5851.0241698973
4275.07326255328,2885.64464182971,5664.50188327686,2150.1255593759,6400.02096573067
4776.68683300785,3352.91677071356,6200.45689530213,2599.21842721857,6954.15523879712
5318.18754330692,3875.43820101786,6760.93688559599,3111.69283358858,7524.68225302526
5521.39205251318,4068.158037615,6974.62606741135,3298.86241977181,7743.92168525454
6688.65008375367,5229.62379209706,8147.67637541028,4457.26192815591,8920.03823935143
7436.27493570732,5974.04812524322,8898.50174617142,5199.99200898745,9672.55786242719
6884.96697384594,5420.97140260676,8348.96254508512,4645.97896095582,9123.95498673607
7507.69581372775,6042.72260152987,8972.66902592563,5267.21262801713,9748.17899943837
