"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
3679.28399628893,2377.50778119282,4981.06021138503,1688.38907944258,5670.17891313527
4258.03228629549,2292.84021682428,6223.22435576671,1252.53037562481,7263.53419696618
4204.14426961711,1666.26186572186,6742.02667351236,322.78807423153,8085.50046500269
4671.55654635948,1754.53186402477,7588.58122869419,210.352274051599,9132.76081866736
4852.52689585751,1697.71560077033,8007.33819094469,27.6593816397717,9677.39441007525
4538.62090229367,1255.26318357133,7821.97862101601,-482.84140173987,9560.08320632721
4001.91606083453,658.568993923391,7345.26312774566,-1111.29203405691,9115.12415572597
3973.73455820672,608.349540831114,7339.11957558233,-1173.17767342391,9120.64678983736
3939.29985838799,568.62576014152,7309.97395663446,-1215.70132439913,9094.30104117512
4037.37473872384,666.396467459751,7408.35300998792,-1118.09163654997,9192.84111399765
3997.19266260316,625.85424875935,7368.53107644696,-1158.8245032159,9153.20982842222
3894.84330514049,521.934641835973,7267.751968445,-1263.57534999237,9053.26196027334
