"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
1521.22185066893,994.023197934221,2048.42050340365,714.941089255346,2327.50261208252
1682.90416076147,947.069718459387,2418.73860306354,557.542494269866,2808.26582725306
1551.7684500842,689.368027859063,2414.16887230934,232.84082106202,2870.69607910638
1777.37362427382,871.154302640248,2683.59294590739,391.430771680657,3163.31647686698
2049.30414825997,1126.84813009148,2971.76016642846,638.529411182447,3460.07888533749
1850.39437999322,921.792925447589,2778.99583453884,430.221009031347,3270.56775095509
1737.49190449308,806.546739762848,2668.43706922332,313.734138119018,3161.24967086715
1680.64383061406,748.802298185015,2612.4853630431,255.515188144326,3105.77247308379
1574.68798061106,642.503257372996,2506.87270384911,149.034473092127,3000.34148812998
1661.85675717021,729.540583074194,2594.17293126622,236.002212912489,3087.71130142793
1919.76988801035,987.403356963308,2852.13641905738,493.838329441982,3345.70144657871
1948.04890440572,1015.66308116766,2880.43472764378,522.087840977304,3374.00996783413
