"Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
1083.37767297947,540.357270269418,1626.39807568952,252.899633081124,1913.85571287781
1206.50261857034,420.260509282549,1992.74472785813,4.04907806218375,2408.9561590785
1165.99846140391,191.297640665939,2140.69928214188,-324.677806106426,2656.67472891424
1320.44992019947,236.460357513827,2404.43948288511,-337.369054551135,2978.26889495008
1381.13681692869,228.934991555878,2533.3386423015,-381.00381117187,3143.27744502925
1401.36386115384,205.127118359767,2597.60060394791,-428.122361558974,3230.85008386665
1393.99910165929,168.808272134881,2619.1899311837,-479.768575442441,3267.76677876102
1348.72144909748,104.283988275268,2593.15890991969,-554.481410467146,3251.9243086621
1439.64215495882,182.323789579695,2696.96052033795,-483.260348146192,3362.54465806384
1532.70682139876,266.73024375575,2798.68339904177,-403.437274681485,3468.850917479
1677.21987554638,405.406890454693,2949.03286063806,-267.850235456758,3622.28998654951
1712.77489412284,437.020237325818,2988.52955091986,-238.323483544741,3663.87327179042
